book,url,bibtex
Fundamentals of Power Electronics Engineering ,https://doi.org/10.1007/b100747," @article{Erickson_2001, title={Fundamentals of Power Electronics}, ISBN={9780306480485}, url={http://dx.doi.org/10.1007/b100747}, DOI={10.1007/b100747}, publisher={Springer US}, author={Erickson, Robert W. and MaksimoviÄ, Dragan}, year={2001}}
"
"Handbook of the Life Course Humanities, Social Sciences and Law ",https://doi.org/10.1007/b100507," @article{2003, title={Handbook of the Life Course}, ISBN={9780306482472}, ISSN={1389-6903}, url={http://dx.doi.org/10.1007/b100507}, DOI={10.1007/b100507}, journal={Handbooks of Sociology and Social Research}, publisher={Springer US}, year={2003}}
"
All of Statistics Mathematics and Statistics ,https://doi.org/10.1007/978-0-387-21736-9," @article{Wasserman_2004, title={All of Statistics}, ISBN={9780387217369}, ISSN={2197-4136}, url={http://dx.doi.org/10.1007/978-0-387-21736-9}, DOI={10.1007/978-0-387-21736-9}, journal={Springer Texts in Statistics}, publisher={Springer New York}, author={Wasserman, Larry}, year={2004}}
"
Social Anxiety and Social Phobia in Youth Behavioral Science ,https://doi.org/10.1007/b99417," @article{Kearney_2005, title={Social Anxiety and Social Phobia in Youth}, ISBN={9780387225920}, url={http://dx.doi.org/10.1007/b99417}, DOI={10.1007/b99417}, publisher={Springer US}, author={Kearney, Christopher A.}, year={2005}}
"
Discrete Mathematics Mathematics and Statistics ,https://doi.org/10.1007/b97469," @article{Lov_sz_2003, title={Discrete Mathematics}, ISBN={9780387217772}, ISSN={2197-5604}, url={http://dx.doi.org/10.1007/b97469}, DOI={10.1007/b97469}, journal={Undergraduate Texts in Mathematics}, publisher={Springer New York}, author={LovÃ¡sz, L. and PelikÃ¡n, J. and Vesztergombi, K.}, year={2003}}
"
Developmental Neurobiology Biomedical and Life Sciences ,https://doi.org/10.1007/0-387-28117-7," @article{2005, title={Developmental Neurobiology}, ISBN={9780387281179}, url={http://dx.doi.org/10.1007/0-387-28117-7}, DOI={10.1007/0-387-28117-7}, publisher={Springer US}, year={2005}}
"
Intuitive Probability and Random Processes using MATLAB®️ Engineering ,https://doi.org/10.1007/b104645," @article{Kay_2006, title={Intuitive Probability and Random Processes Using MATLABÂ®}, ISBN={9780387241586}, url={http://dx.doi.org/10.1007/b104645}, DOI={10.1007/b104645}, publisher={Springer US}, author={Kay, Steven M.}, year={2006}}
"
"Handbook of Disaster Research Humanities, Social Sciences and Law ",https://doi.org/10.1007/978-0-387-32353-4," @article{Rodr_guez_2007, title={Handbook of Disaster Research}, ISBN={9780387323534}, ISSN={1389-6903}, url={http://dx.doi.org/10.1007/978-0-387-32353-4}, DOI={10.1007/978-0-387-32353-4}, journal={Handbooks of Sociology and Social Research}, publisher={Springer New York}, author={RodrÃ­guez, HavidÃ¡n and Quarantelli, Enrico L. and Dynes, Russell R.}, year={2007}}
"
"Handbook of the Sociology of Gender Humanities, Social Sciences and Law ",https://doi.org/10.1007/0-387-36218-5," @article{2006, ISBN={9780387324609}, url={http://dx.doi.org/10.1007/0-387-36218-5}, DOI={10.1007/0-387-36218-5}, journal={Handbooks of Sociology and Social Research}, publisher={Springer US}, year={2006}}
"
"Handbook of Sociological Theory Humanities, Social Sciences and Law ",https://doi.org/10.1007/0-387-36274-6," @article{2001, title={Handbook of Sociological Theory}, ISBN={9780387324586}, url={http://dx.doi.org/10.1007/0-387-36274-6}, DOI={10.1007/0-387-36274-6}, journal={Handbooks of Sociology and Social Research}, publisher={Springer US}, year={2001}}
"
Clinical Neuroanatomy Behavioral Science ,https://doi.org/10.1007/978-0-387-36601-2," @article{2008, ISBN={9780387366012}, url={http://dx.doi.org/10.1007/978-0-387-36601-2}, DOI={10.1007/978-0-387-36601-2}, publisher={Springer New York}, year={2008}}
"
Acquired Brain Injury Behavioral Science ,https://doi.org/10.1007/978-0-387-37575-5," @article{2007, title={Acquired Brain Injury}, ISBN={9780387375755}, url={http://dx.doi.org/10.1007/978-0-387-37575-5}, DOI={10.1007/978-0-387-37575-5}, publisher={Springer New York}, year={2007}}
"
Numerical Optimization Mathematics and Statistics ,https://doi.org/10.1007/978-0-387-40065-5," @article{2006, ISBN={9780387303031}, url={http://dx.doi.org/10.1007/978-0-387-40065-5}, DOI={10.1007/978-0-387-40065-5}, journal={Springer Series in Operations Research and Financial Engineering}, publisher={Springer New York}, year={2006}}
"
Handbook of Biological Confocal Microscopy Biomedical and Life Sciences ,https://doi.org/10.1007/978-0-387-45524-2," @article{2006, title={Handbook Of Biological Confocal Microscopy}, ISBN={9780387455242}, url={http://dx.doi.org/10.1007/978-0-387-45524-2}, DOI={10.1007/978-0-387-45524-2}, publisher={Springer US}, year={2006}}
"
Ceramic Materials Chemistry and Materials Science ,https://doi.org/10.1007/978-1-4614-3523-5," @article{Carter_2013, title={Ceramic Materials}, ISBN={9781461435235}, url={http://dx.doi.org/10.1007/978-1-4614-3523-5}, DOI={10.1007/978-1-4614-3523-5}, publisher={Springer New York}, author={Carter, C. Barry and Norton, M. Grant}, year={2013}}
"
Principles of Fluorescence Spectroscopy Chemistry and Materials Science ,https://doi.org/10.1007/978-0-387-46312-4," @article{2006, title={Principles of Fluorescence Spectroscopy}, ISBN={9780387463124}, url={http://dx.doi.org/10.1007/978-0-387-46312-4}, DOI={10.1007/978-0-387-46312-4}, publisher={Springer US}, year={2006}}
"
Fundamentals of Biomechanics Biomedical and Life Sciences ,https://doi.org/10.1007/978-3-319-44738-4," @article{_zkaya_2017, title={Fundamentals of Biomechanics}, ISBN={9783319447384}, url={http://dx.doi.org/10.1007/978-3-319-44738-4}, DOI={10.1007/978-3-319-44738-4}, publisher={Springer International Publishing}, author={Ãzkaya, Nihat and Leger, Dawn and Goldsheyder, David and Nordin, Margareta}, year={2017}}
"
Primer on the Rheumatic Diseases Medicine ,https://doi.org/10.1007/978-0-387-68566-3," @article{2008, title={Primer on the Rheumatic Diseases}, ISBN={9780387685663}, url={http://dx.doi.org/10.1007/978-0-387-68566-3}, DOI={10.1007/978-0-387-68566-3}, publisher={Springer New York}, year={2008}}
"
"International Handbook of Historical Archaeology Humanities, Social Sciences and Law ",https://doi.org/10.1007/978-0-387-72071-5," @article{2009, title={International Handbook of Historical Archaeology}, ISBN={9780387720715}, url={http://dx.doi.org/10.1007/978-0-387-72071-5}, DOI={10.1007/978-0-387-72071-5}, publisher={Springer New York}, year={2009}}
"
Database Marketing Business and Economics ,https://doi.org/10.1007/978-0-387-72579-6," @article{Blattberg_2008, title={Database Marketing}, ISBN={9780387725796}, ISSN={2199-1057}, url={http://dx.doi.org/10.1007/978-0-387-72579-6}, DOI={10.1007/978-0-387-72579-6}, journal={International Series in Quantitative Marketing}, publisher={Springer New York}, author={Blattberg, Robert C. and Kim, Byung-Do and Neslin, Scott A.}, year={2008}}
"
Composite Materials Chemistry and Materials Science ,https://doi.org/10.1007/978-0-387-74365-3," @article{Chawla_2012, title={Composite Materials}, ISBN={9780387743653}, url={http://dx.doi.org/10.1007/978-0-387-74365-3}, DOI={10.1007/978-0-387-74365-3}, publisher={Springer New York}, author={Chawla, Krishan K.}, year={2012}}
"
Time Series Analysis Mathematics and Statistics ,https://doi.org/10.1007/978-0-387-75959-3," @article{Cryer_2008, title={Time Series Analysis}, ISBN={9780387759593}, ISSN={1431-875X}, url={http://dx.doi.org/10.1007/978-0-387-75959-3}, DOI={10.1007/978-0-387-75959-3}, journal={Springer Texts in Statistics}, publisher={Springer New York}, author={Cryer, Jonathan D. and Chan, Kung-Sik}, year={2008}}
"
Transmission Electron Microscopy Chemistry and Materials Science ,https://doi.org/10.1007/978-0-387-76501-3," @article{Williams_2009, title={Transmission Electron Microscopy}, ISBN={9780387765013}, url={http://dx.doi.org/10.1007/978-0-387-76501-3}, DOI={10.1007/978-0-387-76501-3}, publisher={Springer US}, author={Williams, David B. and Carter, C. Barry}, year={2009}}
"
"Handbook of Quantitative Criminology Humanities, Social Sciences and Law ",https://doi.org/10.1007/978-0-387-77650-7," @article{2010, title={Handbook of Quantitative Criminology}, ISBN={9780387776507}, url={http://dx.doi.org/10.1007/978-0-387-77650-7}, DOI={10.1007/978-0-387-77650-7}, publisher={Springer New York}, year={2010}}
"
Plant Physiological Ecology Biomedical and Life Sciences ,https://doi.org/10.1007/978-0-387-78341-3," @article{Lambers_2008, title={Plant Physiological Ecology}, ISBN={9780387783413}, url={http://dx.doi.org/10.1007/978-0-387-78341-3}, DOI={10.1007/978-0-387-78341-3}, publisher={Springer New York}, author={Lambers, Hans and Chapin, F. Stuart and Pons, Thijs L.}, year={2008}}
"
Introductory Statistics with R Mathematics and Statistics ,https://doi.org/10.1007/978-0-387-79054-1," @article{Dalgaard_2008, title={Introductory Statistics with R}, ISBN={9780387790541}, ISSN={1431-8784}, url={http://dx.doi.org/10.1007/978-0-387-79054-1}, DOI={10.1007/978-0-387-79054-1}, journal={Statistics and Computing}, publisher={Springer New York}, author={Dalgaard, Peter}, year={2008}}
"
The Elements of Statistical Learning Mathematics and Statistics ,https://doi.org/10.1007/978-0-387-84858-7," @article{Hastie_2009, title={The Elements of Statistical Learning}, ISBN={9780387848587}, ISSN={2197-568X}, url={http://dx.doi.org/10.1007/978-0-387-84858-7}, DOI={10.1007/978-0-387-84858-7}, journal={Springer Series in Statistics}, publisher={Springer New York}, author={Hastie, Trevor and Tibshirani, Robert and Friedman, Jerome}, year={2009}}
"
"Psychology, Religion, and Spirituality Behavioral Science ",https://doi.org/10.1007/978-0-387-87573-6," @article{2009, title={Psychology, Religion, and Spirituality}, ISBN={9780387875736}, url={http://dx.doi.org/10.1007/978-0-387-87573-6}, DOI={10.1007/978-0-387-87573-6}, publisher={Springer New York}, year={2009}}
"
Introductory Time Series with R Mathematics and Statistics ,https://doi.org/10.1007/978-0-387-88698-5," @article{Metcalfe_2009, title={Introductory Time Series with R}, ISBN={9780387886985}, url={http://dx.doi.org/10.1007/978-0-387-88698-5}, DOI={10.1007/978-0-387-88698-5}, publisher={Springer New York}, author={Metcalfe, Andrew V. and Cowpertwait, Paul S.P.}, year={2009}}
"
Child Neuropsychology Behavioral Science ,https://doi.org/10.1007/978-0-387-88963-4," @article{Semrud_Clikeman_2009, title={Child Neuropsychology}, ISBN={9780387889634}, url={http://dx.doi.org/10.1007/978-0-387-88963-4}, DOI={10.1007/978-0-387-88963-4}, publisher={Springer US}, author={Semrud-Clikeman, Margaret and Ellison, Phyllis Anne Teeter}, year={2009}}
"
